algorithm,size,seconds,speedup
gpu_radix_sort_opt_2,1048576,0.01230,0.515
bitonic_sort,1048576,0.00052,12.173
thrust_sort,1048576,0.00027,23.790
radix_sort_tbb,1048576,0.00139,4.314
gpu_radix_sort_opt_2,1048576,0.01228,0.490
bitonic_sort,1048576,0.00051,11.678
thrust_sort,1048576,0.00026,22.952
radix_sort_tbb,1048576,0.00143,3.990
gpu_radix_sort_opt_2,1048576,0.01234,0.462
bitonic_sort,1048576,0.00052,10.938
thrust_sort,1048576,0.00026,22.006
radix_sort_tbb,1048576,0.00136,5.033
gpu_radix_sort_opt_2,1048576,0.01228,0.559
bitonic_sort,1048576,0.00052,13.300
thrust_sort,1048576,0.00028,24.526
radix_sort_tbb,1048576,0.00182,6.024
gpu_radix_sort_opt_2,1048576,0.01231,0.890
bitonic_sort,1048576,0.00052,21.153
thrust_sort,1048576,0.00027,40.858
radix_sort_tbb,1048576,0.00140,3.939
gpu_radix_sort_opt_2,1048576,0.01227,0.449
bitonic_sort,1048576,0.00052,10.565
thrust_sort,1048576,0.00031,17.937
radix_sort_tbb,1048576,0.00143,4.003
gpu_radix_sort_opt_2,1048576,0.01227,0.466
bitonic_sort,1048576,0.00052,10.935
thrust_sort,1048576,0.00027,21.517
radix_sort_tbb,1048576,0.00146,5.457
gpu_radix_sort_opt_2,1048576,0.01227,0.647
bitonic_sort,1048576,0.00053,15.098
thrust_sort,1048576,0.00030,26.041
radix_sort_tbb,1048576,0.00139,4.226
gpu_radix_sort_opt_2,1048576,0.01226,0.481
bitonic_sort,1048576,0.00052,11.421
thrust_sort,1048576,0.00026,22.417
radix_sort_tbb,1048576,0.00169,3.472
gpu_radix_sort_opt_2,1048576,0.01227,0.477
bitonic_sort,1048576,0.00052,11.305
thrust_sort,1048576,0.00026,22.171
radix_sort_tbb,1048576,0.00154,3.548
gpu_radix_sort_opt_2,1048576,0.01225,0.446
bitonic_sort,1048576,0.00052,10.592
thrust_sort,1048576,0.00026,21.106
radix_sort_tbb,1048576,0.00141,3.846
gpu_radix_sort_opt_2,1048576,0.01227,0.442
bitonic_sort,1048576,0.00052,10.500
thrust_sort,1048576,0.00026,20.875
radix_sort_tbb,1048576,0.00184,3.020
gpu_radix_sort_opt_2,1048576,0.01228,0.451
bitonic_sort,1048576,0.00052,10.736
thrust_sort,1048576,0.00026,21.663
algorithm,size,seconds,speedup
radix_sort_tbb,4194304,0.00599,7.235
